"site","plot_no","reading","light","canopy_openness","P_ID"
"Iyerpadi_Akkamalai",20,3,702,4,"Iyerpadi_Akkamalai_20"
"Iyerpadi_Akkamalai",20,4,154,8,"Iyerpadi_Akkamalai_20"
"Iyerpadi_Akkamalai",21,1,1030,3,"Iyerpadi_Akkamalai_21"
"Iyerpadi_Akkamalai",21,2,596,3,"Iyerpadi_Akkamalai_21"
"Iyerpadi_Akkamalai",21,3,449,9,"Iyerpadi_Akkamalai_21"
"Iyerpadi_Akkamalai",21,4,290,6,"Iyerpadi_Akkamalai_21"
"Iyerpadi_Akkamalai",22,1,750,12,"Iyerpadi_Akkamalai_22"
"Iyerpadi_Akkamalai",22,2,661,4,"Iyerpadi_Akkamalai_22"
"Iyerpadi_Akkamalai",22,3,1019,7,"Iyerpadi_Akkamalai_22"
"Iyerpadi_Akkamalai",22,4,752,12,"Iyerpadi_Akkamalai_22"
"Iyerpadi_Akkamalai",23,1,1990,5,"Iyerpadi_Akkamalai_23"
"Iyerpadi_Akkamalai",23,2,557,4,"Iyerpadi_Akkamalai_23"
"Iyerpadi_Akkamalai",23,3,512,3,"Iyerpadi_Akkamalai_23"
"Iyerpadi_Akkamalai",23,4,536,3,"Iyerpadi_Akkamalai_23"
"Iyerpadi_Akkamalai",24,1,649,6,"Iyerpadi_Akkamalai_24"
"Iyerpadi_Akkamalai",24,2,363,7,"Iyerpadi_Akkamalai_24"
"Iyerpadi_Akkamalai",24,3,632,5,"Iyerpadi_Akkamalai_24"
"Iyerpadi_Akkamalai",24,4,1071,8,"Iyerpadi_Akkamalai_24"
"Iyerpadi_Akkamalai",25,1,2380,6,"Iyerpadi_Akkamalai_25"
"Iyerpadi_Akkamalai",25,2,662,5,"Iyerpadi_Akkamalai_25"
"Iyerpadi_Akkamalai",25,3,529,10,"Iyerpadi_Akkamalai_25"
"Iyerpadi_Akkamalai",25,4,783,7,"Iyerpadi_Akkamalai_25"
"Manamboli_Lower",1,1,178,10,"Manamboli_Lower_1"
"Manamboli_Lower",1,2,97,2,"Manamboli_Lower_1"
"Manamboli_Lower",1,3,284,2,"Manamboli_Lower_1"
"Manamboli_Lower",1,4,718,5,"Manamboli_Lower_1"
"Manamboli_Lower",2,1,1230,4,"Manamboli_Lower_2"
"Manamboli_Lower",2,2,2050,6,"Manamboli_Lower_2"
"Manamboli_Lower",2,3,2670,2,"Manamboli_Lower_2"
"Manamboli_Lower",2,4,620,4,"Manamboli_Lower_2"
"Manamboli_Lower",3,1,1030,8,"Manamboli_Lower_3"
"Manamboli_Lower",3,2,880,4,"Manamboli_Lower_3"
"Manamboli_Lower",3,3,280,2,"Manamboli_Lower_3"
"Manamboli_Lower",3,4,285,2,"Manamboli_Lower_3"
"Manamboli_Lower",4,1,452,3,"Manamboli_Lower_4"
"Manamboli_Lower",4,2,1229,3,"Manamboli_Lower_4"
"Manamboli_Lower",4,3,860,3,"Manamboli_Lower_4"
"Manamboli_Lower",4,4,610,2,"Manamboli_Lower_4"
"Manamboli_Lower",5,1,1420,2,"Manamboli_Lower_5"
"Manamboli_Lower",5,2,969,4,"Manamboli_Lower_5"
"Manamboli_Lower",5,3,1321,5,"Manamboli_Lower_5"
"Manamboli_Lower",5,4,1580,3,"Manamboli_Lower_5"
"Manamboli_Lower",6,1,696,4,"Manamboli_Lower_6"
"Manamboli_Lower",6,2,515,2,"Manamboli_Lower_6"
"Manamboli_Lower",6,3,504,1,"Manamboli_Lower_6"
"Manamboli_Lower",6,4,702,3,"Manamboli_Lower_6"
"Manamboli_Lower",7,1,734,4,"Manamboli_Lower_7"
"Manamboli_Lower",7,2,505,6,"Manamboli_Lower_7"
"Manamboli_Lower",7,3,2090,1,"Manamboli_Lower_7"
"Manamboli_Lower",7,4,878,1,"Manamboli_Lower_7"
"Manamboli_Lower",8,1,538,4,"Manamboli_Lower_8"
"Manamboli_Lower",8,2,951,2,"Manamboli_Lower_8"
"Manamboli_Lower",8,3,3080,4,"Manamboli_Lower_8"
"Manamboli_Lower",8,4,653,6,"Manamboli_Lower_8"
"Manamboli_Lower",9,1,747,2,"Manamboli_Lower_9"
"Manamboli_Lower",9,2,397,7,"Manamboli_Lower_9"
"Manamboli_Lower",9,3,603,2,"Manamboli_Lower_9"
"Manamboli_Lower",9,4,593,3,"Manamboli_Lower_9"
"Manamboli_Lower",10,1,923,6,"Manamboli_Lower_10"
"Manamboli_Lower",10,2,884,4,"Manamboli_Lower_10"
"Manamboli_Lower",10,3,1165,6,"Manamboli_Lower_10"
"Manamboli_Lower",10,4,723,6,"Manamboli_Lower_10"
"Manamboli_Lower",11,1,470,2,"Manamboli_Lower_11"
"Manamboli_Lower",11,2,536,4,"Manamboli_Lower_11"
"Manamboli_Lower",11,3,303,2,"Manamboli_Lower_11"
"Manamboli_Lower",11,4,425,2,"Manamboli_Lower_11"
"Manamboli_Lower",12,1,676,2,"Manamboli_Lower_12"
"Manamboli_Lower",12,2,481,4,"Manamboli_Lower_12"
"Manamboli_Lower",12,3,711,4,"Manamboli_Lower_12"
"Manamboli_Lower",12,4,562,5,"Manamboli_Lower_12"
"Manamboli_Lower",13,1,13740,6,"Manamboli_Lower_13"
"Manamboli_Lower",13,2,665,5,"Manamboli_Lower_13"
"Manamboli_Lower",13,3,980,4,"Manamboli_Lower_13"
"Manamboli_Lower",13,4,731,8,"Manamboli_Lower_13"
"Manamboli_Lower",14,1,1103,4,"Manamboli_Lower_14"
"Manamboli_Lower",14,2,780,4,"Manamboli_Lower_14"
"Manamboli_Lower",14,3,548,5,"Manamboli_Lower_14"
"Manamboli_Lower",14,4,1242,6,"Manamboli_Lower_14"
