"group","old_code","osuri_code","current_code","original_name","original_fullname","original_family","GBIFname","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","scientificName"
"liana","Rub ell","NA","Rub ell","Rubus ellipticus","Rubus ellipticus Smith ","Rosaceae","Rubus ellipticus Sm.",2991314,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus ellipticus","Rubus ellipticus","Sm.","Rubus ellipticus"
"liana","Rub mic","NA","Rub mic","Rubus micropetalus","Rubus micropetalus Gard.","Rosaceae","Rubus micropetalus Gardner",2995436,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus micropetalus","Rubus micropetalus","Gardner","Rubus micropetalus"
"liana","Sal chi","NA","Sal chi","Salacia chinensis","Salacia chinensis L.","Hippocrateaceae","Salacia chinensis L.",5414293,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Salacia","Salacia chinensis","Salacia chinensis","L.","Salacia chinensis"
"liana","Sal mal","NA","Sal mal","Salacia malabarica","Salacia malabarica Gamble","Hippocrateaceae","Salacia malabarica Gamble",5580318,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Salacia","Salacia malabarica","Salacia malabarica","Gamble","Salacia malabarica"
"liana","Sal sp.","NA","Sal sp.","Salacia sp.","Salacia sp.","Hippocrateaceae","Salacia L.",3169160,"EDITED",69,"ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Salacia",,"Salacia",,"Salacia"
"liana","Sar kle","NA","Sar kle","Sarcostigma kleinii","Sarcostigma kleinii Wight & Arn.","Icacinaceae","Sarcostigma kleinii Wight & Arn.",3597414,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Icacinales","Icacinaceae","Sarcostigma","Sarcostigma kleinii","Sarcostigma kleinii","Wight & Arn.","Sarcostigma kleinii"
"liana","Smi per","NA","Smi per","Smilax perfoliata","Smilax perfoliata Lour.","Smilacaceae","Smilax perfoliata Lour.",5295267,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Liliales","Smilacaceae","Smilax","Smilax perfoliata","Smilax perfoliata","Lour.","Smilax perfoliata"
"liana","Str van","NA","Str van","Strychnos vanprukii","Strychnos vanprukii Craib ","Loganiaceae","Strychnos vanprukii Craib",7289431,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Loganiaceae","Strychnos","Strychnos vanprukii","Strychnos vanprukii","Craib","Strychnos vanprukii"
"liana","Tet sul","NA","Tet sul","Tetrastigma sulcatum","Tetrastigma sulcatum (Lawson) Gamble","Vitaceae","Tetrastigma sulcatum (M.A.Lawson) Gamble",5659159,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Tetrastigma","Tetrastigma sulcatum","Tetrastigma sulcatum","(M.A.Lawson) Gamble","Tetrastigma sulcatum"
"liana","Tod asi","NA","Tod asi","Toddalia asiatica","Toddalia asiatica (L.) Lam.","Rutaceae","Toddalia asiatica (L.) Lam.",7896627,"EXACT",98,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum asiaticum","Toddalia asiatica","(L.) Lam.","Zanthoxylum asiaticum"
"liana","Ven mad","NA","Ven mad","Ventilago madraspatana","Ventilago madraspatana Gaertn.","Rhamnaceae","Ventilago madraspatana Gaertn.",4928549,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Ventilago","Ventilago madraspatana","Ventilago madraspatana","Gaertn.","Ventilago madraspatana"
"liana","Zan ova","NA","Zan ova","Zanthoxylum ovalifolium","Zanthoxylum ovalifolium Wight","Rutaceae","Zanthoxylum ovalifolium Wight",7269328,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum ovalifolium","Zanthoxylum ovalifolium","Wight","Zanthoxylum ovalifolium"
"treeregen","Acr ped","Acr ped","Acr ped","Acronychia pedunculata","Acronychia pedunculata (L.) Miq. ","Rutaceae","Acronychia pedunculata (L.) Miq.",3836457,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Acronychia","Acronychia pedunculata","Acronychia pedunculata","(L.) Miq.","Acronychia pedunculata"
"treeregen","Act ang","Act gul","Act gul","Actinodaphne gullavara","Actinodaphne angustifolia Nees","Lauraceae","Actinodaphne gullavara (Buch.-Ham. ex Nees) M.R.Almeida",8320462,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Actinodaphne","Actinodaphne gullavara","Actinodaphne gullavara","(Buch.-Ham. ex Nees) M.R.Almeida","Actinodaphne gullavara"
"treeregen","Act bou","Act bou","Act bou","Actinodaphne bourdillonii","Actinodaphne bourdillonii Gamble","Lauraceae","Actinodaphne bourdillonii Gamble",4178168,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Actinodaphne","Actinodaphne bourdillonii","Actinodaphne bourdillonii","Gamble","Actinodaphne bourdillonii"
"treeregen","Act tad","Act tad","Act tad","Actinodaphne tadulingami","Actinodaphne tadulingamii Gamble","Lauraceae","Actinodaphne tadulingami Gamble",4176659,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Actinodaphne","Actinodaphne tadulingami","Actinodaphne tadulingami","Gamble","Actinodaphne tadulingami"
"treeregen","Agl ela","NA","Agl ela","Aglaia elaeagnoidea","Aglaia elaeagnoidea (A.Juss.) Benth. ","Meliaceae","Aglaia elaeagnoidea (A.Juss.) Benth.",5597755,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Aglaia","Aglaia elaeagnoidea","Aglaia elaeagnoidea","(A.Juss.) Benth.","Aglaia elaeagnoidea"
