WeirdSiteID,PlotID,Plant.year,Site_ID,Site_type,treespecies,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,gbh8,gbh9,gbh10,gbh11,height,Notes
IPTOP,R04,2004,IPTO_04U,Unrestored,Litsea floribunda,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Mallotus tetracoccus,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Trema orientalis,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Neolitsea zeylanica,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Mesua ferrea,23.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Litsea floribunda,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Mallotus tetracoccus,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,21.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Mallotus tetracoccus,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Trema orientalis,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Persea macarantha,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Maesa indica,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Persea macarantha,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Mallotus tetracoccus,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Macaranga peltata,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Maesa indica,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Maesa indica,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Maesa indica,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Maesa indica,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Syzygium rubicundum,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Litsea oleiodes,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Ficus hispida,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,
IPTOP,R05,2005,IPTO_05U,Unrestored,Clerodendrum infortunatum,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05U,Unrestored,Cinnamomum malabathrum,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
IPTOP,R05,2005,IPTO_05R,Restored,Litsea floribunda,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
IPTOP,R05,2005,IPTO_05R,Restored,Acronychia pedunculata,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,
IPTOP,R05,2005,IPTO_05R,Restored,Cinnamomum malabathrum,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,
IPTOP,R05,2005,IPTO_05R,Restored,Cinnamomum malabathrum,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,
IPTOP,R05,2005,IPTO_05R,Restored,Heritiera papilio,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
