plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
OLCA_P2B,Old Kavarkal,Benchmark,10.37068,76.97376,55,89.9483663114964,12,5,4,0,2,1,44.305553057921834,209.671806813243,0.6009456826666667,16.333333333333332,33,9,6,0,4,2,0.62228732675
UPMA_P1B,Manamboli,Benchmark,10.3477,76.89621,75,0,12,8,6,0,5,1,97.19632163357811,602.9456045118595,0.639404965,21.5,59,18,15,1,15,5,0.5944766937857143
UPMA_P2B,Manamboli,Benchmark,10.34762,76.89461,70,0,15,9,6,1,6,2,37.23390104899118,136.79701644243522,0.5413224612,20.466666666666665,141,25,20,1,20,9,0.6001146267
UPMA_P3B,Manamboli,Benchmark,10.34778,76.89386,80,0,18,10,7,0,8,4,51.894657575579984,252.62813987989645,0.5633462268888889,32.35294117647059,90,9,7,1,7,1,0.6627397602857144
UPMA_P4B,Manamboli,Benchmark,10.34822,76.89232,80,0,21,16,15,0,12,4,40.478075620240624,226.70037971570514,0.5730559609047619,21.095238095238095,62,21,20,1,15,12,0.6110573522105264
UPMA_P5B,Manamboli,Benchmark,10.3486,76.89059,75,0,31,15,12,0,11,6,45.32792462360841,176.73211417126942,0.6202793454193548,28.766666666666666,72,16,12,1,12,5,0.6209154573333334
STM2_04U,Stanmore,Fragment,10.32936,76.93313,5,2682.61101135183,6,3,0,1,1,0,6.767865011303982,20.34895716232594,0.5466198965000001,32.666666666666664,10,2,0,0,0,0,0.484259167
STM1_02U,Stanmore,Fragment,10.3301,76.93306,5,2611.7445973629,6,5,3,0,2,3,11.909763335245401,20.04094292235409,0.509484327,19.333333333333332,1,1,0,1,1,0,
STIN_02U,Stanmore,Fragment,10.32914,76.93286,10,2685.03467066891,4,3,0,1,0,0,4.046713371790315,14.740317322243154,0.45025000000000004,34,7,3,0,3,1,0,0.46261531566666664
INOA_03U,Injipara,Fragment,10.32413,76.92426,20,2797.98637599789,8,1,0,1,0,0,26.653479375920845,124.0607111661413,0.544,45,11,2,0,2,0,0,0.5141295835
INBS_04U,Injipara,Fragment,10.32487,76.92616,5,2774.72947638802,11,1,0,1,0,0,4.143201056039758,10.13081253699944,0.544,45,15,3,0,2,1,0,0.549239793
INDS_03U,Injipara,Fragment,10.32414,76.92998,85,3002.85561010353,16,10,2,3,2,2,59.067571917052874,227.17633639942255,0.44585836562500003,23.1875,48,11,3,1,6,4,0.4473059254444444
INME_03U,Injipara,Fragment,10.32322,76.92351,45,2879.04402693019,11,6,0,2,3,0,22.921295960415904,92.8734598265792,0.5205832745454546,22.363636363636363,88,16,6,2,8,4,0.5553688919166667
PANM_P1B,Pannimade,Fragment,10.29779,76.8932,95,3126.02211159522,21,9,7,0,4,3,55.72870015466373,271.1684057215187,0.571319142,15.380952380952381,65,14,10,0,9,5,0.6208268452000001
PANM_P2B,Pannimade,Fragment,10.29697,76.89266,85,3021.3605175146,21,9,6,0,4,2,75.20468948449789,411.6733983957343,0.6002404456190477,16.428571428571427,24,11,7,0,8,5,0.5254405625
